Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,2.77555756156289E-17,0,0,0,0,8.15089380098816,0.0688906731120014,-9.96364855855236E-19,-1.87350135405496E-19,0.0135025446900494,1.95156391047391E-18,0.0688906731120014,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/base_link.STL,,Body1-1,Frame0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thigh_link,0.15,2.77555756156289E-17,-0.00499999999999995,0,0,0,0.437487209630772,9.56832762179494E-05,-6.11750430870803E-21,8.93355061557269E-22,0.00394852049291032,-8.09744522547508E-22,0.00403691231563443,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/left_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/left_thigh_link.STL,,Thigh-1,Frame1,Joint1,left_thigh_joint,revolute,0,0.18,0,1.5707963267949,1.5707963267949,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
left_shank_link,0.15,5.55111512312578E-17,0.0350000000000001,0,0,0,0.508908177017483,0.000121922183215571,1.31960373453714E-19,-0.000152681402964464,0.00558173116610893,6.67539161878598E-21,0.00564767066545193,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/left_shank_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/left_shank_link.STL,,Shank-1,Frame2,Joint2,left_knee_joint,revolute,0.3,0,-0.01,0,0,0,left_thigh_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
left_wheel_link,-5.55111512312578E-17,1.38777878078145E-16,0.06,0,0,0,0.370607820219959,0.000261554099622148,4.66568639571121E-20,4.25241268224465E-21,0.000261554099622148,9.63342209100677E-21,0.000498401011229632,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/left_wheel_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/left_wheel_link.STL,,Wheel-1,Frame3,Joint3,left_wheel_joint,continuous,0.3,0,0,0,0,0,left_shank_link,0,0,1,,,,,,,,,,,,
right_thigh_link,0.15,-3.77475828372553E-15,0.005,0,0,0,0.437487209630772,9.56832762179493E-05,-6.11750430870793E-21,8.09603024536317E-22,0.00394852049291032,1.07202607386873E-21,0.00403691231563442,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/right_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/right_thigh_link.STL,,Thigh-2,Frame4,Joint4,right_hip_joint,revolute,0,-0.18,0,1.5707963267949,1.5707963267949,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
right_shank_link,0.15,-2.77555756156289E-17,-0.035,0,0,0,0.508908177017482,0.000121922183215571,8.70265230160587E-20,0.000152681402964464,0.00558173116610893,-4.29333271220474E-21,0.00564767066545193,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/right_shank_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/right_shank_link.STL,,Shank-2,Frame5,Joint5,right_knee_joint,revolute,0.3,0,0.01,0,0,0,right_thigh_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_wheel_link,-1.66533453693773E-16,-2.77555756156289E-17,-0.06,0,0,0,0.370607820219958,0.000261554099622148,5.6951385174276E-20,-2.37921577684259E-23,0.000261554099622148,5.98226473475898E-21,0.000498401011229632,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/right_wheel_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Vertical_ver_mesh/meshes/right_wheel_link.STL,,Wheel-2,Frame6,Joint6,right_wheel_joint,continuous,0.3,0,0,0,0,0,right_shank_link,0,0,-1,,,,,,,,,,,,
