Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.1879E-17,0,-6.3341E-18,0,0,0,8.1339,0.068371,-6.4798E-21,-5.4546E-19,0.013502,0,0.068371,0,0,0,0,0,0,package://wbrbodytest/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wbrbodytest/meshes/base_link.STL,mt1,Body-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thigh,0.15,-1.3961E-18,-0.005,0,0,0,0.43749,9.5683E-05,-8.886E-20,6.421E-22,0.0039485,-4.7646E-23,0.0040369,0,0,0,0,0,0,package://wbrbodytest/meshes/left_thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wbrbodytest/meshes/left_thigh.STL,mt1,LThigh-1,坐标系2,jLhip,left_hip_joint,revolute,0,0.17,0,1.5708,1.5708,0,base_link,0,0,1,50,50,-3.14,3.14,,,,,,,,
left_shank,0.15,-2.144E-18,0.005,0,0,0,0.44105,9.591E-05,-9.7189E-20,1.024E-21,0.0040289,9.5291E-23,0.0041175,0,0,0,0,0,0,package://wbrbodytest/meshes/left_shank.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wbrbodytest/meshes/left_shank.STL,mt1,LShank-1,坐标系3,jLknee,left_knee_joint,revolute,0.3,0,0,0,0,0,left_thigh,0,0,-1,50,50,3.14,-31.4,,,,,,,,
left_wheel,0.00049825,-0.00026472,0.01,0,0,0,0.39086,0.00027537,-3.1007E-06,4.7363E-21,0.00027122,1.0958E-20,0.00052053,0,0,0,0,0,0,package://wbrbodytest/meshes/left_wheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wbrbodytest/meshes/left_wheel.STL,mt1,LWheel-1,坐标系4,jLwheel,left_wheel_joint,continuous,0.3,0,0.01,0,0,0,left_shank,0,0,1,,,,,,,,,,,,
right_thigh,0.15,-4.7509E-19,0.005,0,0,0,0.43749,9.5683E-05,3.1563E-20,2.6559E-21,0.0039485,-4.7646E-23,0.0040369,0,0,0,0,0,0,package://wbrbodytest/meshes/right_thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wbrbodytest/meshes/right_thigh.STL,mt1,RThigh-1,坐标系5,jRhip,right_hip_joint,revolute,0,-0.17,0,1.5708,1.5708,0,base_link,0,0,-1,50,50,-3.14,3.14,,,,,,,,
right_shank,0.15,-2.0207E-18,-0.005,0,0,0,0.44105,9.591E-05,-9.7189E-20,1.024E-21,0.0040289,9.5291E-23,0.0041175,0,0,0,0,0,0,package://wbrbodytest/meshes/right_shank.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wbrbodytest/meshes/right_shank.STL,mt1,LShank-2,坐标系6,jRknee,right_knee_joint,revolute,0.3,0,0,0,0,0,right_thigh,0,0,-1,50,50,-3.14,3.14,,,,,,,,
right_wheel,0.00054909,0.00012975,-0.01,0,0,0,0.39086,0.00027664,1.6581E-06,-6.3511E-21,0.00026995,5.2427E-21,0.00052053,0,0,0,0,0,0,package://wbrbodytest/meshes/right_wheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://wbrbodytest/meshes/right_wheel.STL,mt1,RWheel-1,坐标系7,jRwheel,right_wheel_joint,continuous,0.3,0,-0.01,0,0,0,right_shank,0,0,1,,,,,,,,,,,,
