Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,2.7756E-17,0,0,0,0,8.1509,0.068891,-9.9636E-19,-1.8735E-19,0.013503,1.9516E-18,0.068891,0,0,0,0,0,0,package://Vertical_ver/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Vertical_ver/meshes/base_link.STL,,Body1-1,Frame0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thigh_link,0.15,2.7756E-17,-0.005,0,0,0,0.43749,9.5683E-05,-6.1175E-21,8.9336E-22,0.0039485,-8.0974E-22,0.0040369,0,0,0,0,0,0,package://Vertical_ver/meshes/left_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Vertical_ver/meshes/left_thigh_link.STL,,Thigh-1,Frame1,Joint1,left_thigh_joint,revolute,0,0.18,0,1.5708,1.5708,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
left_shank_link,0.15,5.5511E-17,0.035,0,0,0,0.50891,0.00012192,1.3196E-19,-0.00015268,0.0055817,6.6754E-21,0.0056477,0,0,0,0,0,0,package://Vertical_ver/meshes/left_shank_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Vertical_ver/meshes/left_shank_link.STL,,Shank-1,Frame2,Joint2,left_knee_joint,revolute,0.3,0,-0.01,0,0,0,left_thigh_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
left_wheel_link,-5.5511E-17,1.3878E-16,0.06,0,0,0,0.37061,0.00026155,4.6622E-20,4.2524E-21,0.00026155,9.6334E-21,0.0004984,0,0,0,0,0,0,package://Vertical_ver/meshes/left_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Vertical_ver/meshes/left_wheel_link.STL,,Wheel-1,Frame3,Joint3,left_wheel_joint,continuous,0.3,0,0,0,0,0,left_shank_link,0,0,1,,,,,,,,,,,,
right_thigh_link,0.15,-3.7192E-15,0.005,0,0,0,0.43749,9.5683E-05,-6.1175E-21,8.096E-22,0.0039485,1.072E-21,0.0040369,0,0,0,0,0,0,package://Vertical_ver/meshes/right_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Vertical_ver/meshes/right_thigh_link.STL,,Thigh-2,Frame4,Joint4,right_hip_joint,revolute,0,-0.18,0,1.5708,1.5708,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
right_shank_link,0.15,-2.7756E-17,-0.035,0,0,0,0.50891,0.00012192,8.7027E-20,0.00015268,0.0055817,-4.2933E-21,0.0056477,0,0,0,0,0,0,package://Vertical_ver/meshes/right_shank_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Vertical_ver/meshes/right_shank_link.STL,,Shank-2,Frame5,Joint5,right_knee_joint,revolute,0.3,0,0.01,0,0,0,right_thigh_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_wheel_link,-1.6653E-16,-2.7756E-17,-0.06,0,0,0,0.37061,0.00026155,5.6951E-20,-2.3792E-23,0.00026155,5.9823E-21,0.0004984,0,0,0,0,0,0,package://Vertical_ver/meshes/right_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Vertical_ver/meshes/right_wheel_link.STL,,Wheel-2,Frame6,Joint6,right_wheel_joint,continuous,0.3,0,0,0,0,0,right_shank_link,0,0,-1,,,,,,,,,,,,
